Saison,Équipes,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38
2014-2015,Olympique Lyonnais,2,10,13,17,13,12,8,10,6,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
2014-2015,AS Saint-Etienne,2,1,2,8,4,3,3,6,10,5,4,5,6,6,5,4,4,4,4,3,4,4,4,4,4,5,6,5,5,5,5,5,5,4,5,5,5,5
2014-2015,OGC Nice,4,4,9,16,11,17,12,8,11,12,7,10,12,12,12,15,11,12,12,12,10,8,8,8,9,9,13,15,16,12,13,10,11,12,13,15,12,11
2014-2015,FC Lorient,5,5,12,6,8,11,17,17,14,15,17,18,20,17,15,16,17,14,15,16,14,15,17,16,16,17,17,17,15,17,17,16,18,16,15,14,16,16
2014-2015,FC Girondins de Bordeaux,6,1,1,1,3,2,2,2,2,3,6,4,4,5,4,6,5,5,6,6,7,7,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6
2014-2015,FC Nantes,6,5,8,7,10,7,7,9,5,6,5,6,5,4,7,7,9,8,7,7,8,9,9,9,10,11,8,11,9,9,10,11,10,10,11,12,13,14
2014-2015,SC Bastia,8,15,9,13,14,18,16,16,19,16,18,19,15,15,19,20,20,18,19,14,15,14,16,15,13,10,14,10,12,13,14,14,16,13,12,10,11,12
2014-2015,Olympique de Marseille,8,15,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,4,4,4,4
2014-2015,Paris Saint-Germain FC,10,3,6,2,5,5,4,4,3,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
2014-2015,Stade de Reims,10,15,19,19,18,15,18,19,16,14,14,13,10,11,8,9,10,10,9,10,11,11,12,13,14,15,15,12,13,15,16,17,14,17,17,17,14,15
2014-2015,Lille OSC,12,7,3,3,1,4,5,3,4,8,11,12,14,10,11,12,12,11,11,11,12,13,13,11,11,12,9,8,8,8,8,8,8,8,8,8,8,8
2014-2015,FC Metz,12,14,18,14,17,9,6,5,9,7,10,8,9,13,13,13,14,16,17,17,17,20,20,20,20,20,20,20,20,20,19,20,19,19,19,19,19,19
2014-2015,Toulouse FC,14,12,14,12,15,14,10,11,8,9,12,14,11,14,14,11,13,15,14,15,16,17,14,17,17,18,18,18,18,18,18,18,15,14,16,16,17,17
2014-2015,AS Monaco FC,15,19,17,15,19,16,11,12,13,10,8,7,7,8,10,8,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3
2014-2015,RC Lens,16,18,15,11,9,13,15,14,18,20,16,17,19,20,18,19,18,19,16,19,19,19,19,19,19,19,19,19,19,19,20,19,20,20,20,20,20,20
2014-2015,Montpellier Hérault SC,16,11,5,10,6,6,9,7,7,11,13,9,13,9,9,10,8,9,10,8,6,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7
2014-2015,EA Guingamp,18,13,16,18,16,19,19,20,20,19,20,16,18,19,20,17,16,13,13,13,13,12,11,10,8,8,11,13,10,10,11,12,12,11,10,11,10,10
2014-2015,Stade Rennais FC,18,8,7,5,7,8,13,15,12,13,9,11,7,7,6,5,6,7,8,9,9,10,10,12,12,13,10,9,11,11,9,9,9,9,9,9,9,9
2014-2015,Évian Thonon Gaillard FC,20,20,20,20,20,20,20,18,15,17,19,20,16,18,16,14,15,17,18,18,18,16,18,18,18,16,16,16,17,16,15,15,17,18,18,18,18,18
2015-2016,Angers SCO,1,4,3,4,7,6,6,5,2,2,2,3,4,5,3,3,2,2,3,2,3,5,3,4,5,8,9,9,9,12,10,9,8,8,8,8,9,9
2015-2016,SC Bastia,2,5,2,6,9,15,16,11,14,15,16,15,15,18,17,16,18,17,16,16,15,15,13,15,14,12,12,10,10,13,11,11,11,12,15,14,14,10
2015-2016,AS Monaco FC,2,6,8,13,8,11,10,9,10,11,9,6,9,6,7,6,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3
2015-2016,Stade de Reims,2,2,6,2,3,5,5,4,7,9,11,13,14,15,15,12,14,15,17,17,17,17,18,16,16,17,17,17,16,17,17,17,17,17,18,18,19,18
2015-2016,Toulouse FC,2,9,10,14,16,17,15,17,17,17,18,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17
2015-2016,SM Caen,6,3,6,9,5,4,7,6,3,3,3,5,3,3,2,2,3,4,4,5,7,7,5,6,8,10,7,4,6,7,6,8,9,9,9,10,8,7
2015-2016,FC Nantes,6,7,4,8,10,16,11,14,12,8,6,7,10,11,10,11,11,12,13,10,11,11,9,7,7,6,5,7,8,6,8,10,10,10,10,9,12,14
2015-2016,Paris Saint-Germain FC,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-2016,GFC Ajaccio,9,17,18,20,20,20,19,20,20,20,19,18,18,16,16,13,15,16,12,14,13,13,16,17,17,18,18,18,18,18,18,18,18,18,17,17,18,19
2015-2016,FC Lorient,9,12,15,18,17,10,9,10,9,10,10,9,7,9,9,9,8,8,8,9,12,12,12,12,12,14,14,12,12,11,13,14,13,11,14,16,16,15
2015-2016,Olympique Lyonnais,9,7,12,5,6,7,4,8,6,6,4,2,2,2,4,4,5,6,9,6,9,9,11,10,6,5,6,3,3,4,4,3,2,3,2,2,2,2
2015-2016,ESTAC Troyes,9,11,17,17,18,18,18,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-2016,FC Girondins de Bordeaux,13,14,14,10,12,13,17,12,15,14,13,14,11,13,14,17,12,14,14,12,10,10,7,11,11,9,10,13,13,14,14,12,12,13,11,11,10,11
2015-2016,OGC Nice,13,13,9,11,15,9,8,7,8,5,7,8,6,4,6,5,7,5,5,4,4,3,4,3,3,3,3,5,4,3,3,5,4,4,4,5,4,4
2015-2016,Stade Rennais FC,13,9,5,3,2,2,3,3,4,7,8,10,8,8,8,10,10,10,7,8,6,4,6,9,9,7,8,6,5,5,5,4,5,7,7,7,7,8
2015-2016,AS Saint-Etienne,13,14,11,7,4,3,2,2,5,4,5,4,5,7,5,7,6,7,6,7,5,6,8,5,4,4,4,8,7,8,7,6,6,5,5,4,5,6
2015-2016,EA Guingamp,17,18,20,16,14,8,12,13,11,12,12,11,12,10,12,14,17,18,18,19,18,16,14,13,13,15,16,16,17,16,15,15,15,14,13,15,15,16
2015-2016,Lille OSC,17,16,16,12,13,14,14,16,13,13,15,16,16,17,18,18,13,11,11,13,14,14,15,14,15,13,13,15,14,9,9,7,7,6,6,6,6,5
2015-2016,Olympique de Marseille,17,18,13,15,11,12,13,15,16,16,14,12,13,12,11,8,9,9,10,11,8,8,10,8,10,11,11,11,11,10,12,13,14,15,16,13,13,13
2015-2016,Montpellier Hérault SC,20,20,19,19,19,19,20,18,18,18,17,17,17,14,13,15,16,13,15,15,16,18,17,18,18,16,15,14,15,15,16,16,16,16,12,12,11,12
2016-2017,Olympique Lyonnais,1,1,4,8,9,7,9,5,8,10,8,7,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2016-2017,FC Girondins de Bordeaux,2,14,8,4,5,4,5,6,6,8,9,8,7,6,5,7,10,10,10,10,9,7,7,7,7,7,5,5,6,6,6,5,5,5,5,6,6,6
2016-2017,SM Caen,2,12,6,10,14,14,15,13,16,18,18,15,15,15,18,17,19,17,19,15,13,13,11,12,14,16,14,14,15,16,16,16,16,17,18,16,17,17
2016-2017,FC Metz,2,15,7,3,4,9,6,8,11,12,13,14,12,11,12,13,15,18,18,19,16,18,16,11,13,14,15,15,16,13,14,15,15,15,15,13,14,14
2016-2017,Montpellier Hérault SC,5,13,14,13,12,13,16,17,15,17,16,13,13,13,14,12,13,11,11,13,14,16,14,16,12,11,13,13,13,15,15,14,12,13,13,15,15,15
2016-2017,FC Nantes,5,11,17,18,18,16,18,16,13,14,15,16,17,17,19,19,18,16,12,11,11,12,15,14,11,12,11,12,10,11,9,8,10,8,8,8,7,7
2016-2017,OGC Nice,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2016-2017,Paris Saint-Germain FC,5,2,5,7,3,2,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-2017,EA Guingamp,9,5,1,5,7,6,8,10,5,5,4,4,5,5,7,6,6,5,5,5,5,8,8,9,8,9,10,11,8,10,8,10,8,10,10,9,10,10
2016-2017,AS Monaco FC,9,6,1,1,1,3,2,2,3,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-2017,Olympique de Marseille,11,16,11,14,15,15,13,14,12,11,10,12,11,12,11,10,9,6,6,6,7,6,6,6,6,6,7,6,5,5,5,6,6,6,6,5,5,5
2016-2017,Toulouse FC,11,4,9,11,6,5,3,4,4,4,6,6,8,9,8,8,7,8,9,9,10,10,10,10,9,8,9,9,11,12,10,9,11,11,12,12,11,13
2016-2017,Lille OSC,13,10,13,15,17,18,20,18,18,16,17,18,19,19,17,14,11,13,13,14,15,11,13,15,18,15,16,16,14,14,13,13,14,12,11,11,12,11
2016-2017,FC Lorient,13,19,19,20,20,20,17,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,18,16,16,17,18,18
2016-2017,AS Saint-Etienne,13,8,10,12,8,10,7,9,9,7,7,9,9,8,9,9,8,9,8,8,6,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,8,8
2016-2017,Angers SCO,16,17,18,17,13,11,12,12,10,9,11,10,10,10,10,11,12,15,17,18,19,17,18,18,16,13,12,10,12,9,12,12,13,14,14,14,13,12
2016-2017,SC Bastia,16,7,16,9,11,12,10,11,14,15,14,17,16,16,16,18,16,12,15,17,18,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,19,20
2016-2017,Dijon FCO,16,17,15,16,16,19,14,15,17,13,12,11,14,14,15,15,17,19,16,16,17,14,17,17,15,17,18,18,17,17,17,19,19,18,17,18,16,16
2016-2017,Stade Rennais FC,16,9,11,6,10,8,11,7,7,6,5,5,6,4,6,5,5,7,7,7,8,9,9,8,10,10,8,8,9,8,11,11,9,9,9,10,9,9
2016-2017,AS Nancy Lorraine,20,20,20,19,19,17,19,20,20,19,19,19,18,18,13,16,14,14,14,12,12,15,12,13,17,18,17,17,18,18,18,17,17,19,19,19,20,19
2017-2018,Olympique Lyonnais,1,1,4,4,3,5,7,8,6,4,3,3,3,2,3,2,2,3,3,3,2,2,2,4,4,4,4,4,4,4,4,3,3,3,2,2,3,3
2017-2018,Lille OSC,2,10,13,13,16,17,18,19,19,19,19,19,19,19,18,17,18,18,18,15,17,18,17,19,16,17,19,19,19,19,19,19,18,19,19,16,15,17
2017-2018,Olympique de Marseille,2,4,5,6,10,6,5,3,4,5,4,4,4,4,2,4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
2017-2018,EA Guingamp,4,12,14,9,12,10,10,11,9,11,11,14,15,15,16,14,10,12,8,7,7,9,10,9,10,10,10,11,13,14,10,10,11,10,11,11,11,12
2017-2018,Paris Saint-Germain FC,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017-2018,AS Monaco FC,6,3,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,2,2,2,4,4,4,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2
2017-2018,Montpellier Hérault SC,7,11,9,12,17,12,12,13,11,8,9,8,8,7,7,8,7,11,7,8,8,7,7,6,6,6,5,6,8,7,6,6,7,8,8,8,9,10
2017-2018,AS Saint-Etienne,7,5,3,3,4,3,4,7,3,6,6,6,7,8,11,12,15,16,16,14,14,16,14,13,14,11,12,13,11,9,9,9,8,6,5,6,8,7
2017-2018,FC Girondins de Bordeaux,9,6,6,5,5,4,3,6,7,7,8,9,9,13,10,11,14,15,15,13,13,12,9,8,7,8,8,9,9,11,12,12,10,11,9,9,7,6
2017-2018,Angers SCO,10,7,7,7,7,11,11,12,10,12,12,15,16,16,19,19,19,19,19,18,15,17,16,16,19,19,17,14,14,12,13,14,13,14,14,14,14,14
2017-2018,Stade Rennais FC,11,14,17,19,14,15,15,16,16,16,14,10,11,9,8,6,6,7,9,10,9,8,8,10,8,7,7,5,6,5,5,5,5,7,6,5,5,5
2017-2018,ESTAC Troyes,12,8,8,11,15,16,13,9,12,14,16,11,14,11,13,15,17,14,14,17,18,15,18,18,18,15,18,18,18,18,18,18,19,18,18,19,19,19
2017-2018,Toulouse FC,13,9,16,10,9,13,14,15,13,10,10,12,10,14,15,18,16,17,17,19,19,19,19,15,15,16,16,17,17,17,17,17,17,16,17,18,18,18
2017-2018,SM Caen,14,16,12,8,6,9,8,5,8,9,7,7,6,6,6,7,9,10,12,12,10,11,13,11,12,12,13,12,12,13,14,15,15,15,15,15,17,16
2017-2018,OGC Nice,14,15,11,17,11,8,9,10,14,15,17,16,17,18,14,13,8,6,6,6,6,6,6,7,9,9,9,8,7,8,7,7,6,5,7,7,6,8
2017-2018,FC Metz,16,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017-2018,Amiens SC,17,18,20,18,13,14,16,14,15,13,13,13,12,10,9,9,11,13,13,16,16,13,15,17,17,18,15,16,16,16,15,13,14,13,13,13,12,13
2017-2018,Dijon FCO,18,20,18,16,19,18,17,17,18,18,15,17,13,12,12,10,13,9,10,9,11,14,11,12,11,13,11,10,10,10,11,11,12,12,12,12,13,11
2017-2018,FC Nantes,18,18,15,15,8,7,6,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,5,6,8,8,9,9,10,10,10,9
2017-2018,RC Strasbourg Alsace,20,13,10,14,18,19,19,18,17,17,18,18,18,17,17,16,12,8,11,11,12,10,12,14,13,14,14,15,15,15,16,16,16,17,16,17,16,15
2018-2019,Olympique de Marseille,1,9,9,5,2,5,3,6,3,4,5,6,6,5,5,5,7,6,6,6,5,7,7,6,4,5,4,4,4,5,5,5,5,6,6,6,6,5
2018-2019,Paris Saint-Germain FC,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-2019,AS Monaco FC,3,5,10,13,15,16,18,18,18,19,19,19,19,19,19,18,19,19,19,19,19,19,18,18,16,16,16,17,16,16,16,16,16,16,17,17,16,17
2018-2019,Lille OSC,4,6,3,4,3,2,4,2,2,2,2,3,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018-2019,RC Strasbourg Alsace,5,7,11,15,16,9,13,8,9,7,7,7,8,9,8,9,10,11,8,8,6,5,6,9,9,8,10,11,11,9,9,9,10,10,10,11,12,11
2018-2019,Olympique Lyonnais,6,10,4,8,7,6,2,5,6,5,4,4,4,2,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2018-2019,Nîmes Olympique,7,2,5,10,8,10,12,14,14,15,16,13,14,11,10,8,6,8,10,10,10,11,11,11,10,11,9,10,10,11,10,11,9,9,8,8,7,9
2018-2019,Dijon FCO,8,3,2,2,5,7,9,12,16,16,17,17,18,18,17,16,16,18,18,18,18,16,16,17,18,19,19,18,19,20,18,18,18,19,19,19,19,18
2018-2019,AS Saint-Etienne,9,8,8,9,14,8,6,4,5,6,6,5,5,6,6,6,5,4,4,3,4,4,4,4,5,4,5,6,5,4,4,4,4,4,4,4,4,4
2018-2019,Stade de Reims,10,4,6,11,10,11,14,15,17,13,9,8,9,8,9,11,12,9,11,11,12,9,8,10,7,6,6,5,6,6,6,7,7,8,9,9,9,8
2018-2019,Angers SCO,11,16,19,18,12,12,8,11,10,10,12,15,13,14,13,14,15,14,15,15,15,15,14,12,12,12,12,12,12,12,12,12,12,13,12,13,13,13
2018-2019,EA Guingamp,12,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,19,20,19,20,20,20,20,20,20
2018-2019,Montpellier Hérault SC,13,11,11,7,6,3,5,3,4,3,3,2,3,3,2,3,3,5,5,5,7,6,5,5,6,7,7,7,7,7,8,6,6,5,5,5,5,6
2018-2019,OGC Nice,14,14,18,17,11,15,11,13,12,14,10,9,7,7,7,7,8,7,7,7,8,8,9,7,8,10,8,9,9,8,7,8,8,7,7,7,8,7
2018-2019,Stade Rennais FC,15,12,13,6,9,13,17,16,11,11,14,12,12,13,14,13,11,13,9,9,9,10,10,8,11,9,11,8,8,10,11,10,11,11,13,12,10,10
2018-2019,FC Nantes,16,20,17,16,17,18,19,19,19,18,13,10,10,10,12,12,13,12,13,13,14,14,13,14,14,14,14,13,14,14,15,14,13,12,11,10,11,12
2018-2019,Amiens SC,17,19,14,14,18,19,15,17,13,17,18,18,16,16,18,19,17,17,17,17,17,18,19,16,17,17,17,16,17,17,17,17,17,17,16,16,17,15
2018-2019,FC Girondins de Bordeaux,17,18,15,19,19,14,10,9,7,8,8,11,11,12,11,10,9,10,12,12,11,12,12,13,13,13,13,14,13,13,13,13,14,14,14,14,14,14
2018-2019,SM Caen,19,15,16,12,13,17,16,10,15,12,15,16,17,17,16,17,18,16,16,16,16,17,17,19,19,18,18,19,20,18,19,20,19,18,18,18,18,19
2018-2019,Toulouse FC,20,13,7,3,4,4,7,7,8,9,11,14,15,15,15,15,14,15,14,14,13,13,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,16
2019-2020,Olympique Lyonnais,1,1,2,8,8,12,11,11,15,17,14,14,14,10,10,10,9,8,12,7,6,8,6,11,12,11,6,7,1,1,1,1,1,1,1,1,1,1
2019-2020,Paris Saint-Germain FC,1,9,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-2020,Angers SCO,3,10,6,3,7,2,2,2,3,5,6,2,3,3,4,8,11,10,8,10,8,10,13,14,14,14,12,11,1,1,1,1,1,1,1,1,1,1
2019-2020,Stade de Reims,4,5,8,5,11,11,9,9,6,3,3,6,7,8,11,11,7,6,6,8,13,9,9,12,9,10,10,6,1,1,1,1,1,1,1,1,1,1
2019-2020,Lille OSC,5,11,4,10,5,6,3,4,5,7,4,5,6,11,8,5,4,4,4,5,7,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
2019-2020,OGC Nice,5,2,5,1,6,3,7,6,9,11,13,12,13,15,12,14,13,14,11,11,12,7,7,10,8,8,9,5,1,1,1,1,1,1,1,1,1,1
2019-2020,AS Saint-Etienne,5,6,14,16,15,17,19,15,12,9,9,7,5,4,9,6,8,9,14,15,15,15,15,15,16,15,16,17,1,1,1,1,1,1,1,1,1,1
2019-2020,Stade Rennais FC,8,3,1,2,4,4,8,8,10,14,10,8,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
2019-2020,Stade Brestois 29,9,12,7,12,13,15,14,19,11,8,5,10,12,14,15,13,14,15,15,14,14,14,14,13,13,13,14,14,1,1,1,1,1,1,1,1,1,1
2019-2020,FC Metz,9,4,13,15,17,18,16,18,20,16,19,18,17,18,17,18,18,18,18,17,16,16,16,16,15,16,15,15,1,1,1,1,1,1,1,1,1,1
2019-2020,RC Strasbourg Alsace,9,13,17,17,18,16,17,12,17,20,16,19,16,13,14,15,15,12,9,12,9,11,8,6,6,6,8,10,1,1,1,1,1,1,1,1,1,1
2019-2020,Toulouse FC,9,7,15,9,10,13,13,14,18,12,17,16,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1
2019-2020,Amiens SC,13,8,16,18,16,14,15,17,13,15,15,13,15,16,16,16,16,16,17,18,18,18,19,19,19,19,19,19,1,1,1,1,1,1,1,1,1,1
2019-2020,Dijon FCO,13,18,20,20,20,20,20,20,19,19,20,17,19,17,18,17,17,17,16,16,17,17,17,17,18,18,18,16,1,1,1,1,1,1,1,1,1,1
2019-2020,FC Nantes,13,16,11,6,2,7,4,3,2,2,2,3,8,7,6,9,6,5,5,4,5,6,11,9,11,7,11,13,1,1,1,1,1,1,1,1,1,1
2019-2020,Montpellier Hérault SC,16,14,10,14,12,10,10,10,7,10,8,11,10,9,7,7,10,13,10,6,4,5,5,5,7,9,5,8,1,1,1,1,1,1,1,1,1,1
2019-2020,FC Girondins de Bordeaux,17,15,9,11,9,8,6,7,4,6,12,9,9,5,5,4,5,7,13,13,10,12,12,8,10,12,13,12,1,1,1,1,1,1,1,1,1,1
2019-2020,Olympique de Marseille,18,17,12,7,3,5,5,5,8,4,7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
2019-2020,AS Monaco FC,19,20,19,19,19,19,18,13,16,13,11,15,11,12,13,12,12,11,7,9,11,13,10,7,5,5,7,9,1,1,1,1,1,1,1,1,1,1
2019-2020,Nîmes Olympique,19,19,18,13,14,9,12,16,14,18,18,20,20,20,19,19,19,19,19,19,19,19,18,18,17,17,17,18,1,1,1,1,1,1,1,1,1,1
2020-2021,Nîmes Olympique,1,8,13,15,14,13,16,16,18,18,15,16,16,18,19,18,20,20,20,19,18,19,19,19,19,17,18,18,19,18,18,18,18,19,19,19,19,19
2020-2021,FC Lorient,2,12,14,16,16,17,17,17,17,17,18,18,19,17,18,19,18,19,19,18,20,18,18,17,17,19,17,17,17,17,17,17,17,17,17,17,17,16
2020-2021,AS Saint-Etienne,3,1,1,1,4,7,10,13,13,15,16,15,15,15,14,14,14,14,16,16,16,16,16,15,15,14,16,16,16,16,15,13,13,14,12,11,11,11
2020-2021,Montpellier Hérault SC,4,11,5,3,3,5,7,11,10,7,6,6,7,5,6,6,8,9,9,11,11,11,11,11,9,9,8,8,9,8,8,8,8,8,8,8,8,8
2020-2021,OGC Nice,4,2,6,10,10,8,4,5,4,9,9,11,11,12,11,13,12,13,13,14,13,13,14,13,14,16,12,11,12,11,10,9,10,9,10,9,9,9
2020-2021,Angers SCO,6,15,9,11,8,12,11,8,11,10,11,9,8,8,9,9,9,8,8,8,10,9,9,9,10,10,10,9,10,10,11,11,12,12,13,12,12,13
2020-2021,Paris Saint-Germain FC,7,13,15,8,7,4,2,1,1,1,1,1,1,4,2,3,3,2,2,1,1,3,3,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2
2020-2021,Stade de Reims,8,16,17,19,19,19,19,19,16,16,17,17,17,19,17,16,15,15,14,15,14,12,12,14,13,13,13,12,13,12,12,12,11,11,11,13,13,14
2020-2021,AS Monaco FC,9,6,3,6,5,6,8,12,9,8,7,5,6,7,8,8,7,6,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2020-2021,Stade Rennais FC,10,4,2,2,1,1,3,3,3,3,8,8,9,9,7,5,4,5,6,5,5,6,6,6,6,8,9,10,8,7,7,7,7,7,7,7,7,6
2020-2021,Lille OSC,11,5,4,5,2,2,1,2,2,2,2,3,3,2,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2020-2021,FC Girondins de Bordeaux,12,3,10,13,12,9,12,9,12,13,12,13,10,11,13,12,13,12,10,9,7,10,10,10,11,11,11,15,11,13,14,15,16,16,15,15,14,12
2020-2021,FC Nantes,12,7,12,14,15,16,15,14,14,12,14,14,14,14,16,15,16,17,17,17,17,17,17,18,18,18,19,19,18,19,19,19,19,18,18,18,18,18
2020-2021,RC Lens,14,10,7,4,6,3,5,6,5,5,4,7,5,6,5,7,6,7,7,7,9,8,8,7,7,6,7,5,6,5,5,5,5,5,5,6,6,7
2020-2021,Olympique Lyonnais,14,9,11,12,11,14,9,7,7,6,5,4,4,3,3,2,1,1,1,3,3,2,2,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4
2020-2021,Dijon FCO,16,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,18,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2020-2021,FC Metz,16,17,18,17,17,15,14,10,8,11,10,12,13,13,12,10,10,11,12,10,8,7,7,8,8,7,6,7,7,9,9,10,9,10,9,10,10,10
2020-2021,RC Strasbourg Alsace,18,18,19,18,18,18,18,18,19,19,19,19,18,16,15,17,17,16,15,13,15,15,15,16,16,15,15,14,15,15,13,14,14,15,16,16,15,15
2020-2021,Olympique de Marseille,19,14,8,7,9,10,6,4,6,4,3,2,2,1,4,4,5,4,4,6,6,5,5,5,5,5,5,6,5,6,6,6,6,6,6,5,5,5
2020-2021,Stade Brestois 29,20,20,16,9,13,11,13,15,15,14,13,10,12,10,10,11,11,10,11,12,12,14,13,12,12,12,14,13,14,14,16,16,15,13,14,14,16,17
2021-2022,Angers SCO,1,1,2,2,2,5,3,5,4,5,7,8,9,6,7,9,8,10,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,15,14,14,14
2021-2022,Clermont Foot 63,1,2,3,3,6,6,11,15,15,14,14,15,15,18,18,17,17,15,17,16,17,15,15,15,15,15,15,16,17,17,17,18,17,17,17,16,16,17
2021-2022,Olympique de Marseille,3,6,5,4,3,2,2,2,5,2,4,3,4,5,4,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2
2021-2022,Paris Saint-Germain FC,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-2022,Lille OSC,5,18,17,10,12,15,14,9,8,12,11,12,12,12,13,12,12,12,9,7,8,11,11,10,11,8,7,6,6,7,7,9,9,9,10,10,10,10
2021-2022,FC Metz,6,15,14,16,17,20,20,18,18,18,19,19,20,20,19,20,19,18,18,18,16,18,18,19,19,18,19,19,19,19,20,20,20,20,20,19,18,19
2021-2022,Stade Brestois 29,7,11,13,18,17,18,18,19,19,19,18,18,17,13,12,11,11,13,13,13,13,13,13,12,12,12,12,13,13,12,12,12,12,11,11,11,11,11
2021-2022,RC Lens,7,8,4,6,5,3,4,3,2,3,2,4,2,4,5,5,5,6,10,8,7,9,9,8,10,6,10,9,8,10,8,7,7,7,8,7,7,7
2021-2022,FC Lorient,7,7,10,7,8,7,5,6,7,11,10,13,13,14,15,16,16,19,19,19,18,19,17,17,18,16,18,17,16,16,16,16,15,15,16,17,17,16
2021-2022,FC Nantes,7,5,9,12,14,10,8,11,9,9,6,9,10,11,10,14,13,11,8,10,11,10,10,9,7,7,6,7,9,8,9,10,10,10,9,9,9,9
2021-2022,Olympique Lyonnais,11,17,16,9,7,9,7,7,10,6,9,6,7,7,6,6,10,9,11,11,10,7,8,7,8,10,9,10,10,9,10,8,8,8,7,8,8,8
2021-2022,AS Monaco FC,11,14,19,14,16,14,13,8,6,10,8,10,11,9,9,8,7,8,7,9,6,8,6,6,6,9,8,8,7,6,6,6,5,4,4,3,2,3
2021-2022,Stade Rennais FC,11,9,6,8,11,16,12,13,11,7,5,5,5,3,2,3,2,3,4,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,5,4,4
